price,sqft_living,sqft_lot,sqft_above,yr_built,lat
221900,1180,5650,1180,1955,47.5112
538000,2570,7242,2170,1951,47.721
180000,770,10000,770,1933,47.7379
604000,1960,5000,1050,1965,47.5208
510000,1680,8080,1680,1987,47.6168
1.23E+06,5420,101930,3890,2001,47.6561
257500,1715,6819,1715,1995,47.3097
291850,1060,9711,1060,1963,47.4095
229500,1780,7470,1050,1960,47.5123
323000,1890,6560,1890,2003,47.3684
662500,3560,9796,1860,1965,47.6007
468000,1160,6000,860,1942,47.69
310000,1430,19901,1430,1927,47.7558
400000,1370,9680,1370,1977,47.6127
530000,1810,4850,1810,1900,47.67
650000,2950,5000,1980,1979,47.5714
395000,1890,14040,1890,1994,47.7277
485000,1600,4300,1600,1916,47.6648
189000,1200,9850,1200,1921,47.3089
230000,1250,9774,1250,1969,47.3343
385000,1620,4980,860,1947,47.7025
2.00E+06,3050,44867,2330,1968,47.5316
285000,2270,6300,2270,1995,47.3266
252700,1070,9643,1070,1985,47.3533
329000,2450,6500,2450,1985,47.3739
233000,1710,4697,1710,1941,47.3048
937000,2450,2691,1750,1915,47.6386
667000,1400,1581,1400,1909,47.6221
438000,1520,6380,790,1948,47.695
719000,2570,7173,2570,2005,47.7073
580500,2320,3980,2320,2003,47.5391
280000,1190,1265,1190,2005,47.7274
687500,2330,5000,1510,1929,47.6823
535000,1090,3000,1090,1929,47.6889
322500,2060,6659,1280,1981,47.4276
696000,2300,3060,1510,1930,47.6827
550000,1660,34848,930,1933,47.6621
640000,2360,6000,2360,1904,47.6702
240000,1220,8075,890,1969,47.3341
605000,2620,7553,2620,1996,47.5301
625000,2570,5520,2570,2000,47.6145
775000,4220,24186,2600,1984,47.445
861990,3595,5639,3595,2014,47.6848
685000,1570,2280,1570,1922,47.6413
309000,1280,9656,920,1959,47.4485
488000,3160,13603,3160,2003,47.7443
210490,990,8528,990,1966,47.3066
785000,2290,13416,2290,1981,47.6194
450000,1250,5963,1250,1953,47.6796
1.35E+06,2753,65005,2165,1953,47.4041
228000,1190,9199,1190,1955,47.4258
345000,3150,9134,1640,1966,47.4934
600000,1410,4080,1000,1950,47.6808
585000,1980,8550,990,1981,47.6989
920000,2730,6000,2130,1927,47.6571
885000,2830,5000,2830,1995,47.6597
292500,2250,4495,2250,2008,47.3663
301000,2420,4750,2420,2003,47.3663
951000,3250,14342,3250,1968,47.588
430000,1850,9976,1850,1991,47.5059
650000,2150,21235,1590,1959,47.4336
289000,1260,8400,1260,1954,47.4366
505000,2519,8690,2519,1973,47.4428
549000,1540,1044,1540,2014,47.6765
425000,1660,6000,1110,1979,47.6113
317625,2770,3809,1770,1925,47.5747
975000,2720,11049,2720,1989,47.5815
287000,2240,4648,2240,2005,47.3378
204000,1000,12070,1000,1968,47.3621
1.33E+06,3200,20158,1600,1965,47.6303
1.04E+06,4770,50094,3070,1973,47.6525
325000,1260,5612,1260,1972,47.7362
571000,2750,7807,2250,1916,47.7168
360000,2380,5000,2380,2005,47.3608
349000,1790,50529,1090,1965,47.3511
832500,3430,35102,2390,1986,47.5822
380000,1760,7300,880,1956,47.6034
